"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"144","Paul Byron","MTL","L","66","61.066666666667","0","1","0","1","1","16.67","4","0.00","0.54","7","6","4","3","0","1","6","3","3","0","0","0","0","0","2","1","0","3","3","50.00"
"145","Sam Gagner","EDM, VAN","C","33","44","1","0","0","0","1","25.00","9","11.11","0.77","14","10","6","3","0","2","2","1","1","0","0","0","2","0","0","3","0","7","4","63.64"
"153","Brandon Sutter","VAN","C","36","32.866666666667","1","0","0","0","1","100.00","4","25.00","0.26","5","5","4","0","0","2","0","0","0","0","0","1","1","0","0","1","0","12","8","60.00"
"154","Colton Sceviour","FLA","C","69","3.8","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","5","1","0","1","0","0","0","0","0","0","0","0","2","0.00"
"171","Nick Holden","VGK","D","73","8.7333333333333","1","0","0","0","1","100.00","1","100.00","0.06","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"172","Jason Demers","ARI","D","45","16.85","0","1","1","0","1","50.00","0","-","0.2","4","2","3","1","0","1","0","0","0","0","0","1","0","0","2","1","0","0","0","-"
"176","Jason Garrison","EDM","D","17","18.266666666667","1","0","0","0","1","100.00","2","50.00","0.22","8","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","-"
"180","Zach Bogosian","BUF","D","65","14.683333333333","0","1","0","1","1","100.00","1","0.00","0.04","4","1","0","0","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","-"
"223","Kyle Clifford","L.A","L","82","17.433333333333","1","0","0","0","1","100.00","3","33.33","0.43","6","4","3","3","0","0","9","3","2","1","0","0","0","0","0","0","0","0","0","-"
"248","Brian Dumoulin","PIT","D","84","17.333333333333","0","1","1","0","1","50.00","1","0.00","0.04","3","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
