id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
534,Garnet Hathaway,WSH,R,61,570.01666666667,6,5,3,2,11,64.71,65,9.23,8.16,118,91,83,48,3,13,40,13,10,2,1,19,16,14,176,78,34,7,16,30.43
535,Melker Karlsson,S.J,C,56,538.35,4,5,2,3,9,56.25,45,8.89,4.25,75,58,46,24,2,6,14,7,7,0,0,3,7,14,36,43,23,11,12,47.83
536,Pierre-Edouard Bellemare,COL,"C, L",61,659.16666666667,6,8,5,3,14,58.33,66,9.09,4.67,107,82,61,24,5,3,8,4,4,0,0,5,11,39,31,78,27,277,233,54.31
537,Tomas Nosek,VGK,L,61,611.63333333333,6,5,2,3,11,52.38,78,7.69,8.33,132,102,86,52,4,11,14,7,7,0,0,6,13,16,84,97,22,170,158,51.83
538,Aaron Ekblad,FLA,D,62,1117.5666666667,4,25,16,9,29,44.62,111,3.60,4.99,195,141,53,15,4,12,10,5,5,0,0,6,58,28,27,46,62,0,0,-
539,Sam Reinhart,BUF,C,63,1007.1833333333,16,19,13,6,35,72.92,92,17.39,9.04,176,142,105,48,7,6,4,2,2,0,0,7,23,20,32,61,22,25,47,34.72
540,Leon Draisaitl,EDM,C,64,1039.7666666667,19,30,18,12,49,81.67,120,15.83,11.82,202,152,138,57,12,15,10,5,5,0,0,10,54,39,22,67,17,370,356,50.96
541,Sam Bennett,CGY,C,47,540.76666666667,8,3,3,0,11,64.71,66,12.12,7.1,125,99,74,32,3,8,28,14,14,0,0,7,16,17,91,33,12,76,65,53.90
542,Michael Dal Colle,NYI,L,49,556.83333333333,4,6,4,2,10,66.67,48,8.33,4.74,67,59,48,34,3,4,10,5,5,0,0,5,17,10,74,35,19,5,2,71.43
543,Jake Virtanen,VAN,R,63,735.2,11,14,8,6,25,83.33,115,9.57,9.52,179,157,94,42,4,17,26,9,8,0,1,15,24,31,90,51,23,3,12,20.00
544,Haydn Fleury,CAR,D,39,464.76666666667,3,6,4,2,9,64.29,56,5.36,2.33,122,78,26,6,1,8,6,3,3,0,0,6,16,12,40,45,34,0,0,-
545,William Nylander,TOR,"C, R",63,911.65,19,19,11,8,38,80.85,135,14.07,13.2,196,170,131,75,3,13,8,4,4,0,0,7,33,36,8,53,12,91,96,48.66
546,Nikolaj Ehlers,WPG,L,66,946.4,16,25,18,7,41,95.35,152,10.53,10.21,273,201,131,34,9,13,17,7,6,1,0,24,31,27,32,73,24,0,2,0.00
