id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
674,Connor Bunnaman,PHI,C,21,0.63333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
675,Riley Stillman,FLA,D,34,78,0,0,0,0,0,-,1,0.00,0.02,1,1,0,0,0,1,0,0,0,0,0,0,8,0,2,1,15,0,0,-
676,Noah Gregor,S.J,C,28,0.26666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
677,Dennis Cholowski,DET,D,36,5.5166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
678,Samuel Girard,COL,D,70,8.6166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-
679,Pierre-Luc Dubois,CBJ,"C, L",70,8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,80.00
680,Henrik Borgstrom,FLA,C,4,0.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
681,Jesper Bratt,N.J,L,60,2.4333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
682,Mikhail Sergachev,T.B,D,70,79.133333333333,1,0,0,0,1,50.00,6,16.67,0.19,6,6,1,1,1,0,0,0,0,0,0,1,2,2,9,2,14,0,0,-
683,Michael McLeod,N.J,C,12,1.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00
684,Alex Nylander,CHI,L,65,0.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
685,Filip Hronek,DET,D,65,173.28333333333,0,0,0,0,0,0.00,5,0.00,0.09,7,5,1,1,1,0,0,0,0,0,0,2,5,1,12,2,20,0,0,-
686,Troy Stecher,VAN,D,69,38.766666666667,0,0,0,0,0,0.00,3,0.00,0.05,3,3,0,0,0,2,0,0,0,0,0,2,0,0,3,1,4,0,0,-
687,Nikita Zaitsev,OTT,D,58,169.88333333333,0,0,0,0,0,0.00,5,0.00,0.06,6,6,1,0,0,0,2,1,1,0,0,1,6,2,5,4,28,0,0,-
688,Drake Caggiula,CHI,C,40,25.233333333333,0,1,1,0,1,100.00,3,0.00,0.24,3,3,3,1,0,0,2,1,1,0,0,2,0,3,2,0,1,0,2,0.00
689,Patrick Russell,EDM,R,45,33.466666666667,0,0,0,0,0,-,3,0.00,0.04,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.00
690,Michal Kempny,WSH,D,58,89.216666666667,0,0,0,0,0,0.00,0,-,0,2,0,2,0,1,0,2,1,1,0,0,0,0,4,2,1,12,0,0,-
691,Lucas Carlsson,CHI,D,6,2.25,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
692,Otto Koivula,NYI,L,12,1.2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.00
