"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"MARC.STAAL","2019-2020","NYR","D",9,135.69,1,0,1,1,0.44,0.44,-2.63,-1.16,85,162,-77,34.41,-11.34,3,5,-2,37.5,-14.02,3.73,6.27,-2.54,37.3,-7.47,3,0,-3,15,6.63,0.38,0.17,14.29,100.15,37.14,33.01,28.15,47.78,30,50.06
"MARCUS.FOLIGNO","2019-2020","MIN","L",12,143.75,1,4,5,5,2.09,2.09,5.01,2.09,119,129,-10,47.98,-1.89,7,5,2,58.33,20.1,4.07,4.26,-0.19,48.86,-2.29,1,1,0,26,10.85,1.58,0.66,5.56,103.36,46.07,25.42,29.22,49.28,28.88,50.71
"MARCUS.JOHANSSON","2019-2020","BUF","L",13,166.63,2,5,7,5,2.52,1.8,4.35,1.57,126,156,-30,44.68,-3.76,9,4,5,69.23,14.69,4.81,5.81,-1,45.29,-3.51,2,1,-1,12,4.32,0.39,0.14,33.33,106.72,36.05,27.4,30.42,43.5,29.38,50.01
"MARCUS.PETTERSSON","2019-2020","PIT","D",13,213.79,1,2,3,2,0.84,0.56,3.86,1.08,196,203,-7,49.12,-3.65,12,7,5,63.16,6.4,8.6,7.6,1,53.09,0.54,2,1,-1,24,6.74,0.47,0.13,10,104.37,53.03,33.04,28.11,51.14,28.77,50.27
"MARCUS.SORENSEN","2019-2020","S.J","L",10,98,2,1,3,2,1.84,1.22,1.17,0.72,81,96,-15,45.76,-0.17,5,8,-3,38.46,8.83,3.47,6.73,-3.26,34.02,-4.68,3,1,-2,11,6.73,0.64,0.39,28.57,97.33,45.1,23.3,29.53,51.09,28.16,50.03
"MARIO.FERRARO","2019-2020","S.J","D",13,158.47,0,1,1,1,0.38,0.38,0.57,0.22,142,139,3,50.53,2.51,4,10,-6,28.57,-8.93,4.56,7.58,-3.02,37.56,-4.05,4,2,-2,21,7.95,0.26,0.1,0,93.71,50.68,28.11,26.47,47.13,28.02,49.92
"MARK.BARBERIO","2019-2020","COL","D",3,39.92,0,0,0,0,0,0,0.32,0.48,37,48,-11,43.53,-9.3,2,0,2,100,62.5,1.26,1.39,-0.13,47.55,-6.27,0,0,0,9,13.53,0.11,0.17,0,110,22.22,29.94,25.77,50.23,28.42,51.98
"MARK.BOROWIECKI","2019-2020","OTT","D",11,135.2,1,1,2,1,0.89,0.44,2.18,0.97,133,139,-6,48.9,2.81,6,6,0,50,3.12,5.86,4.68,1.18,55.6,9.23,4,3,-1,27,11.98,0.51,0.23,9.09,99.1,40.28,27.29,27.29,46.56,29.09,49.1
"MARK.GIORDANO","2019-2020","CGY","D",14,226.05,2,4,6,4,1.59,1.06,6.52,1.73,221,218,3,50.34,-1.17,12,12,0,50,8.62,7.79,7.71,0.08,50.26,0.01,2,3,1,44,11.68,0.75,0.2,13.33,99.91,49.39,34.64,27.88,51.29,29.37,51.26
"MARK.JANKOWSKI","2019-2020","CGY","C",11,86.31,0,0,0,0,0,0,0.73,0.51,87,66,21,56.86,5.49,0,7,-7,0,-53.66,2.93,2.27,0.66,56.35,7.15,1,1,0,13,9.04,0.83,0.58,0,83.33,38.64,16.91,28.02,48.75,28.05,50.35
"MARK.LETESTU","2019-2020","WPG","C",7,66.26,0,0,0,0,0,0,-0.65,-0.59,48,71,-23,40.34,-10.98,1,1,0,50,4.55,1.47,1.92,-0.45,43.36,-0.9,0,0,0,7,6.34,0.38,0.34,0,100.4,26.83,18.68,27.11,50.45,29.26,47.98
"MARK.PYSYK","2019-2020","FLA","D",7,94.38,1,0,1,1,0.64,0.64,-0.34,-0.22,72,100,-28,41.86,-11.26,2,4,-2,33.33,-15.24,2.82,4.97,-2.15,36.2,-14.79,1,0,-1,16,10.17,0.55,0.35,12.5,96.25,61.36,27.13,27.75,55.26,28.29,50.64
"MARK.SCHEIFELE","2019-2020","WPG","C",13,212.33,1,7,8,5,2.26,1.41,4.59,1.3,192,215,-23,47.17,-6.05,13,16,-3,44.83,5.7,8.71,9.39,-0.68,48.12,5.05,1,0,-1,23,6.5,2.21,0.62,8.33,99.15,51.22,32.93,31.54,54.62,29.85,48.97
"MARK.STONE","2019-2020","VGK","R",13,169.26,3,2,5,3,1.77,1.06,5.94,2.11,170,148,22,53.46,2.3,6,10,-4,37.5,-5.36,6.97,5.37,1.6,56.48,0.65,2,2,0,40,14.18,2.99,1.06,12.5,94.07,50.85,27.89,30.82,52.37,29.27,50.38
"MARKUS.GRANLUND","2019-2020","EDM","C",11,100.18,0,0,0,0,0,0,-0.52,-0.31,74,86,-12,46.25,-1.07,1,4,-3,20,-28.65,3.03,2.96,0.07,50.58,4.37,3,1,-2,11,6.59,0.75,0.45,0,90.51,51.02,18.78,27.51,50.42,27.92,48.99
"MARKUS.NUTIVAARA","2019-2020","CBJ","D",8,122.84,2,0,2,2,0.98,0.98,3.39,1.66,115,109,6,51.34,-2.85,5,3,2,62.5,9.17,3.92,3.26,0.66,54.6,2.17,1,0,-1,24,11.72,0.57,0.28,14.29,102.33,55.74,31.6,27.1,49.39,28.69,49.59
"MARTIN.FEHERVARY","2019-2020","WSH","D",3,36.51,0,0,0,0,0,0,0.82,1.35,36,24,12,60,1.43,3,2,1,60,10,1.2,0.97,0.23,55.3,-3.79,1,0,-1,9,14.79,0.05,0.08,0,99.35,58.33,28.67,26.37,50.51,29.02,49
"MARTIN.MARINCIN","2019-2020","TOR","D",6,57.53,0,0,0,0,0,0,0.18,0.19,63,64,-1,49.61,-3.48,3,4,-1,42.86,-17.14,2.44,2.47,-0.03,49.69,-3.77,2,0,-2,11,11.47,0.1,0.1,0,96.51,63.33,20.84,25.98,52.99,27.99,49.81
"MARTIN.NECAS","2019-2020","CAR","C",12,136.95,1,4,5,4,2.19,1.75,5.44,2.38,125,106,19,54.11,0.35,6,5,1,54.55,-0.29,5.75,3.28,2.47,63.68,7.11,2,2,0,16,7.01,0.78,0.34,10,98.86,57.89,24.32,28.43,51.39,28.39,49.96
"MASON.APPLETON","2019-2020","WPG","C",9,89.12,0,0,0,0,0,0,1.21,0.81,90,83,7,52.02,1.64,2,3,-1,40,-2.42,2.48,2.95,-0.47,45.67,0.17,0,1,1,14,9.43,0.57,0.38,0,98.61,63.64,19.61,27.26,49.71,28.22,48.18
"MATHEW.BARZAL","2019-2020","NYI","C",11,184.58,3,3,6,5,1.95,1.63,5.33,1.73,174,202,-28,46.28,2.13,9,4,5,69.23,22.8,7.94,7.38,0.56,51.83,0.15,0,0,0,38,12.35,2.28,0.74,14.29,105.83,55.17,33.91,30.77,45.87,29.18,50.93
