Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-01-31,4:00 PM,5:00 PM,Florida Panthers,3,Detroit Red Wings,2,Regulation
2021-01-31,6:00 PM,7:00 PM,New York Islanders,3,Philadelphia Flyers,4,OT
2021-01-31,6:00 PM,7:00 PM,Columbus Blue Jackets,1,Chicago Blackhawks,3,Regulation
2021-01-31,7:00 PM,8:00 PM,Colorado Avalanche,3,Minnesota Wild,4,OT
2021-01-31,7:00 PM,8:00 PM,St. Louis Blues,4,Anaheim Ducks,1,Regulation
2021-01-31,8:00 PM,9:00 PM,Ottawa Senators,5,Edmonton Oilers,8,Regulation
2021-02-01,6:00 PM,7:00 PM,Pittsburgh Penguins,1,New York Rangers,3,Regulation
2021-02-01,6:00 PM,7:00 PM,Boston Bruins,5,Washington Capitals,3,Regulation
2021-02-01,6:00 PM,7:00 PM,Nashville Predators,2,Tampa Bay Lightning,5,Regulation
2021-02-01,6:00 PM,7:00 PM,Vancouver Canucks,2,Montreal Canadiens,6,Regulation
2021-02-01,7:00 PM,8:00 PM,Calgary Flames,4,Winnipeg Jets,3,SO
2021-02-02,6:00 PM,7:00 PM,Dallas Stars,6,Columbus Blue Jackets,3,Regulation
2021-02-02,6:00 PM,7:00 PM,Vancouver Canucks,3,Montreal Canadiens,5,Regulation
2021-02-02,7:00 PM,8:00 PM,Carolina Hurricanes,4,Chicago Blackhawks,3,SO
2021-02-02,7:00 PM,8:00 PM,Arizona Coyotes,3,St. Louis Blues,4,Regulation
2021-02-02,7:00 PM,8:00 PM,Calgary Flames,2,Winnipeg Jets,3,Regulation
2021-02-02,7:30 PM,8:30 PM,Minnesota Wild,1,Colorado Avalanche,2,Regulation
2021-02-02,9:00 PM,10:00 PM,Ottawa Senators,2,Edmonton Oilers,4,Regulation
2021-02-02,9:00 PM,10:00 PM,Anaheim Ducks,3,Los Angeles Kings,1,Regulation
2021-02-03,4:30 PM,5:30 PM,Detroit Red Wings,1,Tampa Bay Lightning,5,Regulation
2021-02-03,7:00 PM,8:00 PM,Boston Bruins,4,Philadelphia Flyers,3,OT
