id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
238,Boone Jenner,CBJ,C,59,168.68333333333,6,2,1,1,8,40.00,28,21.43,5.4,41,36,34,29,0,2,4,2,2,0,0,0,4,0,1,8,2,90,82,52.33
239,Dmitrij Jaskin,ARI,R,12,16.666666666667,0,0,0,0,0,-,3,0.00,0.26,6,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,66.67
240,Victor Rask,"MIN, SEA",C,47,34.366666666667,0,1,1,0,1,50.00,6,0.00,0.39,8,7,3,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,2,50.00
241,Brandon Saad,STL,L,78,128.51666666667,8,5,4,1,13,52.00,36,22.22,6,41,39,37,24,0,8,0,0,0,0,0,0,0,0,0,5,0,1,1,50.00
242,Brett Ritchie,CGY,R,41,2.5,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
243,Joel Edmundson,MTL,D,24,1.8833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
244,Matt Nieto,S.J,L,70,5.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00
245,William Karlsson,VGK,C,67,129.08333333333,1,2,1,1,3,30.00,12,8.33,2.99,34,25,25,12,0,3,0,0,0,0,0,1,4,1,2,3,0,49,34,59.04
246,Scott Harrington,CBJ,D,7,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
247,Nikita Kucherov,T.B,R,47,172.13333333333,8,19,10,9,27,81.82,41,19.51,4.75,75,58,41,12,3,6,4,2,2,0,0,1,7,0,4,7,0,0,0,-
248,Ryan Nugent-Hopkins,EDM,C,63,210.65,1,20,10,10,21,56.76,38,2.63,4.23,58,47,44,13,0,4,4,2,2,0,0,0,5,3,0,5,1,0,0,-
249,Gabriel Landeskog,COL,L,51,187.66666666667,7,6,5,1,13,43.33,38,18.42,5.63,51,46,35,23,0,9,21,5,3,1,1,0,5,0,4,6,1,41,32,56.16
250,Jonathan Huberdeau,FLA,L,80,282.46666666667,5,32,19,13,37,75.51,47,10.64,5.47,85,65,46,11,0,7,0,0,0,0,0,3,16,2,3,11,2,1,2,33.33
251,Adam Larsson,SEA,D,82,8.8,0,1,0,1,1,100.00,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
252,Ryan Strome,NYR,C,74,201.58333333333,5,8,5,3,13,31.71,31,16.13,5.05,52,45,39,16,0,3,2,1,1,0,0,0,10,2,0,4,1,20,24,45.45
253,Mika Zibanejad,NYR,C,81,232.76666666667,13,12,7,5,25,54.35,64,20.31,9.25,127,103,55,21,0,6,0,0,0,0,0,0,10,2,3,9,1,112,100,52.83
254,Mark Scheifele,WPG,C,67,217.23333333333,7,12,7,5,19,61.29,32,21.88,5.05,59,50,36,11,0,4,9,3,2,1,0,2,9,2,1,8,0,84,70,54.55
255,Sean Couturier,PHI,C,29,77.9,1,2,2,0,3,37.50,12,8.33,1.95,28,23,14,9,0,2,2,1,1,0,0,0,1,1,0,4,0,29,16,64.44
256,Dougie Hamilton,N.J,D,62,144.33333333333,2,5,4,1,7,58.33,24,8.33,2.31,61,39,24,3,2,5,10,5,5,0,0,0,6,2,3,2,0,0,0,-
257,Jonas Brodin,MIN,D,73,113.3,1,6,3,3,7,53.85,14,7.14,0.8,28,16,5,1,0,0,0,0,0,0,0,0,0,2,4,2,3,0,0,-
258,Sven Baertschi,VGK,L,1,0.033333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
259,Jamie Oleksiak,SEA,D,72,5.9,0,0,0,0,0,0.00,1,0.00,0.15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
260,J.T. Miller,VAN,C,80,250.6,8,28,17,11,36,75.00,48,16.67,5.3,79,66,37,12,0,5,4,2,2,0,0,0,11,0,4,11,1,35,24,59.32
261,Joel Armia,MTL,R,60,47.45,1,2,0,2,3,75.00,12,8.33,1.81,18,15,12,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-
262,Nathan Beaulieu,WPG,D,24,1.1333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
263,Connor Murphy,CHI,D,57,3.2833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-
