id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
52,Jeff Petry,MTL,D,68,151.38333333333,0,1,0,1,1,33.33,8,0.00,0.05,9,9,0,0,0,0,2,1,1,0,0,3,7,1,11,1,22,0,0,-
53,Claude Giroux,"FLA, PHI","C, R",75,60.35,0,0,0,0,0,0.00,6,0.00,0.48,7,7,3,2,1,0,0,0,0,0,0,0,2,2,2,0,2,94,52,64.38
54,Jordan Staal,CAR,C,78,164.01666666667,0,0,0,0,0,-,13,0.00,1.04,17,16,10,7,2,1,0,0,0,0,0,4,7,10,3,1,2,71,61,53.79
55,Derick Brassard,"EDM, PHI",C,46,1.0666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
56,Phil Kessel,ARI,R,82,2.05,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
57,Nicklas Backstrom,WSH,C,47,5.1333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,11.11
58,Jonathan Toews,CHI,C,71,90.833333333333,1,0,0,0,1,100.00,6,16.67,0.31,6,6,3,2,2,0,4,2,2,0,0,1,2,5,1,2,6,94,88,51.65
59,Mathieu Perreault,MTL,C,25,0.76666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
60,Alex Killorn,T.B,L,82,142.63333333333,0,0,0,0,0,-,10,0.00,1.34,15,11,11,7,3,1,2,1,1,0,0,0,2,14,9,6,7,0,5,0.00
61,Jamie Benn,DAL,L,82,60.516666666667,1,0,0,0,1,100.00,1,100.00,0.21,1,1,1,1,0,0,2,1,1,0,0,1,1,3,1,0,3,20,22,47.62
62,Nick Bonino,S.J,C,80,127.85,1,0,0,0,1,100.00,8,12.50,0.4,13,12,2,0,0,0,0,0,0,0,0,0,2,8,0,0,11,33,47,41.25
63,Ian Cole,CAR,D,75,178.95,0,1,0,1,1,33.33,1,0.00,0,1,1,0,0,0,0,2,1,1,0,0,1,7,4,6,6,21,0,0,-
64,Justin Braun,"NYR, PHI",D,69,144.35,0,0,0,0,0,0.00,2,0.00,0,3,2,0,0,0,0,2,1,1,0,0,0,5,3,4,0,22,0,0,-
65,Kevin Shattenkirk,ANA,D,82,170.11666666667,0,0,0,0,0,0.00,5,0.00,0.01,6,6,0,0,0,0,0,0,0,0,0,2,6,8,1,1,26,0,0,-
66,Pat Maroon,T.B,L,81,1.4166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,-
67,James van Riemsdyk,PHI,L,82,0.83333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
68,Paul Byron,MTL,L,27,36.833333333333,0,0,0,0,0,-,4,0.00,0.42,4,4,3,1,0,0,0,0,0,0,0,0,2,1,3,0,0,3,6,33.33
69,Sam Gagner,DET,C,81,181.95,1,0,0,0,1,50.00,19,5.26,1.36,24,22,11,5,1,2,4,2,2,0,0,0,2,4,4,3,8,33,59,35.87
