id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
567,Brandon Carlo,BOS,D,27,415.55,3,1,0,1,4,26.67,39,7.69,1.2,85,63,15,1,3,2,10,5,5,0,0,3,7,5,34,47,22,0,0,-
568,Brock Boeser,VAN,R,56,809.51666666667,11,17,10,7,28,59.57,80,13.75,7.92,146,114,97,40,8,8,12,5,5,0,0,0,21,15,30,24,20,8,14,36.36
569,Mathew Barzal,NYI,C,55,831.48333333333,15,20,10,10,35,71.43,107,14.02,10.29,164,135,125,58,7,6,28,13,13,0,0,15,38,27,20,63,11,134,174,43.51
570,Glenn Gawdin,CGY,C,7,46.766666666667,0,1,1,0,1,100.00,1,0.00,0.15,5,2,3,2,0,0,0,0,0,0,0,1,0,3,12,2,1,18,16,52.94
571,Nicholas Merkley,N.J,R,27,287.7,2,7,7,0,9,75.00,35,5.71,2.84,57,43,34,14,1,4,2,1,1,0,0,7,7,7,27,17,5,2,6,25.00
572,Roope Hintz,DAL,L,41,543.11666666667,9,15,11,4,24,72.73,61,14.75,6.91,125,87,84,39,3,9,4,2,2,0,0,4,19,5,49,42,11,174,190,47.80
573,Ethan Bear,EDM,D,43,650.93333333333,2,6,2,4,8,34.78,48,4.17,1.78,93,64,20,2,1,6,14,7,7,0,0,7,35,12,29,78,35,0,0,-
574,Caleb Jones,EDM,D,33,423.58333333333,0,4,3,1,4,36.36,23,0.00,0.71,54,31,11,2,0,3,6,3,3,0,0,4,34,9,26,52,30,0,0,-
575,Noah Juulsen,FLA,D,4,46.033333333333,0,0,0,0,0,-,5,0.00,0.09,7,7,1,0,0,0,0,0,0,0,0,0,2,0,9,5,3,0,0,-
576,Austin Wagner,L.A,L,44,449.63333333333,4,4,3,1,8,72.73,65,6.15,4.99,98,85,58,26,4,6,8,4,4,0,0,9,5,5,97,45,10,0,2,0.00
577,Jack Roslovic,CBJ,C,48,678.61666666667,8,13,5,8,21,75.00,71,11.27,6.11,109,92,63,27,6,6,10,5,5,0,0,9,29,16,32,52,21,205,328,38.46
578,Zach Werenski,CBJ,D,35,662.51666666667,6,8,5,3,14,53.85,68,8.82,3.29,117,89,39,7,0,8,4,2,2,0,0,2,18,9,17,39,33,0,0,-
579,Nicolas Roy,VGK,C,50,583.76666666667,6,7,3,4,13,48.15,50,12.00,5.56,88,71,67,32,0,10,10,5,5,0,0,9,12,23,50,38,21,113,160,41.39
580,Anthony Beauvillier,NYI,L,47,635.53333333333,10,12,5,7,22,64.71,86,11.63,7.93,131,113,96,43,3,8,10,5,5,0,0,7,21,14,35,59,13,0,0,-
581,Guillaume Brisebois,VAN,D,1,10.633333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,-
582,Daniel Sprong,WSH,R,42,456.53333333333,13,7,4,3,20,64.52,68,19.12,4.94,116,91,55,25,5,3,8,4,4,0,0,3,12,11,27,31,1,3,4,42.86
583,Nicolas Meloche,S.J,D,7,63.733333333333,0,1,1,0,1,33.33,6,0.00,0.11,12,9,2,0,0,1,0,0,0,0,0,0,1,0,4,4,6,0,0,-
584,Jeremy Lauzon,BOS,D,41,621.68333333333,1,6,4,2,7,29.17,44,2.27,1.34,92,60,17,2,3,2,18,9,9,0,0,7,19,7,73,75,36,0,0,-
585,Thomas Chabot,OTT,D,49,1043.8666666667,5,18,14,4,23,60.53,103,4.85,4.09,201,139,52,13,5,13,22,10,10,0,0,8,71,11,67,109,62,0,0,-
586,Mathieu Joseph,T.B,R,56,568.21666666667,11,5,3,2,16,64.00,54,20.37,4.92,86,69,59,23,3,5,8,3,3,0,0,7,11,12,81,69,15,41,66,38.32
587,Lawson Crouse,ARI,L,51,594.71666666667,4,6,6,0,10,58.82,66,6.06,8.14,126,106,84,39,6,8,13,5,4,1,0,7,9,17,152,44,24,15,16,48.39
588,Kyle Capobianco,ARI,D,2,24.333333333333,0,0,0,0,0,-,2,0.00,0.05,7,4,0,0,0,0,2,1,1,0,0,0,0,1,1,3,2,0,0,-
589,Mitchell Stephens,T.B,C,7,58.75,0,1,1,0,1,100.00,2,0.00,0.18,4,4,3,1,0,0,0,0,0,0,0,1,0,1,8,0,1,25,17,59.52
590,Mitchell Marner,TOR,R,55,878.31666666667,17,28,20,8,45,83.33,103,16.50,9.99,186,137,134,43,6,16,12,6,6,0,0,7,52,41,19,45,34,0,1,0.00
591,Zach Senyshyn,BOS,R,8,79,0,0,0,0,0,-,10,0.00,0.77,14,12,9,5,0,0,2,1,1,0,0,1,1,2,11,9,1,0,2,0.00
592,Filip Chlapik,OTT,C,1,7.15,0,0,0,0,0,0.00,1,0.00,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-
593,Jacob Larsson,ANA,D,46,695.3,1,5,2,3,6,25.00,38,2.63,1.39,99,65,13,0,1,6,12,6,6,0,0,0,21,4,33,69,47,0,0,-
594,Joel Eriksson Ek,MIN,C,56,746.16666666667,17,5,4,1,22,57.89,108,15.74,12.7,151,132,99,62,3,12,14,7,7,0,0,13,8,15,97,76,24,323,358,47.43
595,Denis Gurianov,DAL,R,55,710.68333333333,8,12,6,6,20,71.43,103,7.77,8.94,186,134,101,42,6,7,16,7,7,0,0,9,23,14,62,36,10,0,0,-
596,Jake DeBrusk,BOS,L,41,500.73333333333,3,8,4,4,11,68.75,71,4.23,5.95,102,87,66,26,5,6,6,3,3,0,0,8,7,19,29,43,18,5,6,45.45
597,Ivan Provorov,PHI,D,56,1029.5666666667,4,7,0,7,11,25.58,87,4.60,3.49,182,120,54,10,0,10,22,11,11,0,0,7,42,3,53,96,76,0,0,-
598,Dennis Gilbert,COL,D,3,18,0,0,0,0,0,-,0,-,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,1,0,0,-
599,Gabriel Carlsson,CBJ,D,14,195.11666666667,1,2,0,2,3,50.00,14,7.14,0.4,28,19,6,1,1,0,2,1,1,0,0,1,2,4,11,20,12,0,0,-
600,John Marino,PIT,D,52,875.75,2,4,1,3,6,18.18,46,4.35,1.61,88,65,19,3,1,5,8,4,4,0,0,5,18,25,40,85,39,0,0,-
601,Yakov Trenin,NSH,C,45,498.91666666667,5,6,5,1,11,61.11,61,8.20,5.42,105,90,55,25,2,8,18,9,9,0,0,3,13,10,94,36,21,4,8,33.33
602,Austin Czarnik,NYI,C,4,39.883333333333,0,0,0,0,0,-,1,0.00,0.09,3,2,3,0,0,0,0,0,0,0,0,0,0,1,2,3,1,4,4,50.00
603,Anthony Cirelli,T.B,C,50,631.7,3,10,3,7,13,65.00,55,5.45,5.05,79,69,56,32,0,6,4,2,2,0,0,10,16,12,59,56,22,173,181,48.87
604,Tanner Kero,DAL,C,39,374.08333333333,3,5,2,3,8,80.00,36,8.33,2.71,60,44,37,19,1,6,6,3,3,0,0,3,9,8,30,30,13,23,12,65.71
605,Evan Rodrigues,PIT,C,35,425.9,5,7,5,2,12,80.00,54,9.26,4.18,92,67,51,22,6,3,4,2,2,0,0,4,11,13,19,58,9,42,57,42.42
606,Artemi Panarin,NYR,L,42,611.75,9,22,14,8,31,93.94,58,15.52,4.54,115,88,65,13,3,4,4,2,2,0,0,4,23,17,9,18,6,0,1,0.00
607,Dean Kukan,CBJ,D,35,482.5,1,4,1,3,5,31.25,28,3.57,0.89,49,35,10,0,1,1,10,5,5,0,0,3,17,6,36,36,37,0,0,-
608,Noel Acciari,FLA,C,41,479.43333333333,3,4,4,0,7,43.75,54,5.56,5.5,85,70,52,29,5,8,4,2,2,0,0,6,10,9,83,61,44,199,174,53.35
