"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"587","Nikita Zadorov","COL","D","70","1052.9833333333","7","7","6","1","14","29.79","91","7.69","3.56","196","131","40","7","1","11","63","27","24","3","0","6","30","17","208","56","50","0","0","-"
"592","Frederik Gauthier","TOR","C","70","569.05","3","11","5","6","14","58.33","45","6.67","3.95","85","62","55","26","8","5","8","4","4","0","0","2","12","12","96","81","25","224","196","53.33"
"601","Trevor van Riemsdyk","CAR","D","78","1067.8166666667","3","11","5","6","14","38.89","100","3.00","3.99","201","142","44","7","2","19","2","1","1","0","0","3","32","22","39","76","76","0","0","-"
"691","Pavel Zacha","N.J","C","61","708.3","7","7","3","4","14","53.85","63","11.11","6.33","116","95","78","36","4","4","8","4","4","0","0","5","25","19","59","44","21","283","313","47.48"
"695","Travis Dermott","TOR","D","64","1004.2833333333","4","10","3","7","14","32.56","96","4.17","3.5","198","136","39","8","8","6","16","8","8","0","0","10","46","22","93","123","45","0","0","-"
"733","Joel Eriksson Ek","MIN","C","58","675.83333333333","7","7","7","0","14","56.00","107","6.54","10.67","157","131","100","63","6","16","14","7","7","0","0","10","7","12","111","109","17","223","247","47.45"
"739","Austin Czarnik","CGY","C","54","525.95","5","9","5","4","14","63.64","48","10.42","5.52","95","74","68","23","7","4","6","3","3","0","0","10","12","23","10","48","23","18","23","43.90"
"746","Noel Acciari","BOS","C","72","812.53333333333","6","8","5","3","14","66.67","93","6.45","8.65","151","130","97","49","3","10","23","10","9","1","0","11","10","30","217","140","28","167","167","50.00"
"815","Filip Hronek","DET","D","46","751.41666666667","4","10","3","7","14","56.00","56","7.14","2.41","129","83","25","3","4","2","16","8","8","0","0","7","38","10","56","74","28","0","0","-"
"856","Filip Chytil","NYR","C","75","897.41666666667","6","8","7","1","14","63.64","119","5.04","11.88","213","166","130","69","13","9","6","3","3","0","0","12","42","25","26","94","21","63","96","39.62"
"14","Mikko Koivu","MIN","C","48","642.7","4","9","8","1","13","61.90","60","6.67","5.02","110","87","70","25","2","12","12","6","6","0","0","4","7","25","11","24","26","356","294","54.77"
"82","Marc Staal","NYR","D","79","1260.4166666667","3","10","3","7","13","28.26","75","4.00","3.1","157","98","54","6","2","13","22","11","11","0","0","4","57","22","85","52","94","0","0","-"
"87","James Neal","CGY","L","63","784.55","5","8","6","2","13","50.00","108","4.63","7.94","188","151","103","35","2","8","22","10","10","0","0","11","25","11","45","43","19","4","6","40.00"
"98","Darren Helm","DET","L","61","751.31666666667","6","7","7","0","13","56.52","89","6.74","6.71","163","119","83","27","6","11","18","9","9","0","0","8","27","27","47","54","22","10","12","45.45"
"156","Kyle Turris","NSH","C","55","706.26666666667","2","11","10","1","13","61.90","59","3.39","4.38","110","85","58","19","1","10","21","9","8","1","0","4","20","17","21","45","15","245","243","50.20"
"160","Colton Sceviour","FLA","C","59","584.01666666667","4","9","8","1","13","56.52","93","4.30","7.65","144","121","77","37","6","12","0","0","0","0","0","5","20","12","84","55","42","36","56","39.13"
"173","Alec Martinez","L.A","D","60","1053.35","4","9","3","6","13","28.89","59","6.78","3","132","87","40","10","2","9","8","4","4","0","0","4","62","11","68","75","108","0","0","-"
"177","Nick Holden","VGK","D","61","973.6","3","10","5","5","13","30.95","72","4.17","3.32","178","113","39","10","3","9","12","6","6","0","0","4","28","21","97","93","64","0","0","-"
"197","Tyler Ennis","TOR","C, L","51","422.51666666667","10","3","2","1","13","86.67","54","18.52","5.4","86","74","48","23","3","2","2","1","1","0","0","6","15","18","47","60","14","1","0","100.00"
"214","Derek Grant","ANA, PIT","C","56","549.55","4","9","5","4","13","61.90","68","5.88","4.73","108","87","49","25","2","6","12","6","6","0","0","3","14","15","91","53","23","214","180","54.31"
"218","Matt Martin","NYI","L","67","737.23333333333","5","8","3","5","13","56.52","61","8.20","5.49","106","89","66","31","0","4","27","8","6","1","1","13","18","11","273","79","39","6","9","40.00"
"301","Johan Larsson","BUF","C","73","850.9","5","8","4","4","13","50.00","72","6.94","5.98","144","111","78","27","6","2","33","14","13","1","0","10","19","25","106","96","30","413","350","54.13"
"391","Rocco Grimaldi","NSH","C","53","523.91666666667","5","8","4","4","13","92.86","79","6.33","6.27","127","101","75","28","8","11","6","3","3","0","0","10","15","27","32","35","20","4","3","57.14"
"421","Joel Armia","MTL","R","57","686.76666666667","7","6","5","1","13","56.52","108","6.48","8.23","180","136","92","40","9","17","10","5","5","0","0","7","26","30","103","50","18","2","13","13.33"
"424","Connor Murphy","CHI","D","52","884.53333333333","5","8","2","6","13","31.71","82","6.10","2.58","152","99","37","7","4","4","22","11","11","0","0","10","36","9","113","96","71","0","0","-"
"431","Colin Miller","VGK","D","65","1034.3333333333","1","12","6","6","13","30.95","94","1.06","3.03","220","129","28","5","3","18","28","14","14","0","0","11","33","17","119","99","56","0","0","-"
"435","Barclay Goodrow","S.J","R","82","768.46666666667","6","7","1","6","13","50.00","74","8.11","6.43","128","108","75","30","5","7","40","14","10","4","0","7","15","28","124","104","56","245","201","54.93"
"503","Matthew Benning","EDM","D","70","902.13333333333","3","10","5","5","13","30.23","84","3.57","2.89","163","119","32","4","2","7","27","12","11","1","0","2","42","8","97","95","50","0","0","-"
"518","Nate Schmidt","VGK","D","61","1084.7833333333","4","9","3","6","13","22.81","79","5.06","3.22","174","112","48","4","6","10","8","4","4","0","0","2","32","38","33","63","86","0","0","-"
"602","Ryan Carpenter","VGK","C","68","736.9","3","10","3","7","13","52.00","95","3.16","8.07","164","130","102","50","6","6","6","3","3","0","0","5","14","26","120","111","15","139","123","53.05"
"609","Melker Karlsson","S.J","C","79","773.3","9","4","1","3","13","59.09","71","12.68","6.18","117","98","81","28","5","5","22","11","11","0","0","6","18","25","63","94","31","12","11","52.17"
