id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
564,Mark Pysyk,BUF,D,55,790.13333333333,1,7,4,3,8,28.57,40,2.50,1.64,89,63,18,4,2,3,28,14,14,0,0,2,19,7,36,52,43,0,0,-
565,Jarred Tinordi,"ARI, MTL",D,10,122.31666666667,0,0,0,0,0,0.00,2,0.00,0.13,8,7,0,0,0,0,17,4,1,3,0,1,0,1,18,16,9,0,0,-
566,Mikael Granlund,MIN,"C, R",82,1135.2,8,18,16,2,26,76.47,114,7.02,9.92,192,148,113,48,4,16,12,6,6,0,0,16,34,43,82,125,45,429,480,47.19
567,Nino Niederreiter,MIN,R,82,1078.8166666667,16,19,10,9,35,71.43,132,12.12,13.58,224,181,149,75,8,10,20,9,9,0,0,12,17,31,121,133,19,3,6,33.33
568,Teemu Pulkkinen,DET,L,36,336.71666666667,4,2,0,2,6,66.67,43,9.30,4.02,92,71,39,22,2,1,8,4,4,0,0,7,10,11,3,33,8,0,1,0.00
569,Joakim Nordstrom,CAR,L,71,955.08333333333,9,14,8,6,23,82.14,78,11.54,9.39,163,129,89,40,4,7,4,2,2,0,0,15,32,20,97,106,23,3,2,60.00
570,Michael Chaput,CBJ,C,8,71.466666666667,1,1,0,1,2,50.00,10,10.00,1.48,12,10,8,6,0,2,5,1,0,1,0,1,3,0,13,8,3,49,26,65.33
571,Bryan Rust,PIT,R,41,474.51666666667,4,4,3,1,8,53.33,61,6.56,5.43,102,86,73,30,5,3,8,4,4,0,0,11,8,9,60,78,17,1,2,33.33
572,Julian Melchiori,WPG,D,11,143.7,0,0,0,0,0,0.00,12,0.00,0.18,20,15,1,0,0,0,0,0,0,0,0,2,5,2,18,13,8,0,0,-
573,Stanislav Galiev,WSH,R,24,200.8,0,3,3,0,3,50.00,29,0.00,2.14,50,42,31,6,3,1,4,2,2,0,0,1,6,6,14,21,4,0,0,-
