Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-11-24,Boston Bruins,3,Montreal Canadiens,2,,21302,2:37,
2018-11-24,Carolina Hurricanes,1,New York Islanders,4,,10015,2:23,
2018-11-24,Washington Capitals,5,New York Rangers,3,,16884,2:17,
2018-11-24,Columbus Blue Jackets,2,Pittsburgh Penguins,4,,18602,2:37,
2018-11-24,Winnipeg Jets,8,St. Louis Blues,4,,17028,2:35,
2018-11-24,Philadelphia Flyers,0,Toronto Maple Leafs,6,,19373,2:25,
2018-11-24,San Jose Sharks,0,Vegas Golden Knights,6,,18252,2:34,
2018-11-25,Calgary Flames,6,Arizona Coyotes,1,,12821,2:29,
2018-11-25,Edmonton Oilers,2,Los Angeles Kings,5,,17581,2:39,
2018-11-25,Anaheim Ducks,2,Nashville Predators,5,,17167,2:43,
2018-11-25,New Jersey Devils,2,Tampa Bay Lightning,5,,19092,2:33,
2018-11-26,Columbus Blue Jackets,7,Detroit Red Wings,5,,17510,2:31,
2018-11-26,New Jersey Devils,3,Florida Panthers,4,OT,9456,2:43,
2018-11-26,Washington Capitals,4,New York Islanders,1,,9072,2:20,
2018-11-26,Ottawa Senators,2,New York Rangers,4,,16709,2:37,
2018-11-26,Boston Bruins,2,Toronto Maple Leafs,4,,19286,2:27,
2018-11-27,San Jose Sharks,2,Buffalo Sabres,3,OT,19070,2:39,
2018-11-27,Vegas Golden Knights,8,Chicago Blackhawks,3,,21460,2:26,
2018-11-27,Dallas Stars,0,Edmonton Oilers,1,OT,18347,2:32,
2018-11-27,Arizona Coyotes,4,Minnesota Wild,3,,18706,2:27,
2018-11-27,Carolina Hurricanes,2,Montreal Canadiens,1,,20835,2:27,
2018-11-27,Colorado Avalanche,3,Nashville Predators,2,,17163,2:29,
2018-11-27,Ottawa Senators,4,Philadelphia Flyers,3,,19083,2:28,
2018-11-27,Anaheim Ducks,3,Tampa Bay Lightning,1,,19092,2:25,
2018-11-27,Los Angeles Kings,2,Vancouver Canucks,1,OT,17790,2:26,
2018-11-27,Pittsburgh Penguins,4,Winnipeg Jets,3,,15321,2:23,
2018-11-28,Dallas Stars,4,Calgary Flames,3,OT,17676,2:32,
2018-11-28,Pittsburgh Penguins,3,Colorado Avalanche,6,,17348,2:31,
2018-11-28,St. Louis Blues,3,Detroit Red Wings,4,,18165,2:36,
2018-11-28,Anaheim Ducks,3,Florida Panthers,2,,9078,2:31,
2018-11-28,San Jose Sharks,3,Toronto Maple Leafs,5,,19362,2:36,
2018-11-29,New York Islanders,1,Boston Bruins,2,SO,17565,2:42,
2018-11-29,Minnesota Wild,2,Columbus Blue Jackets,4,,15210,2:28,
2018-11-29,Los Angeles Kings,2,Edmonton Oilers,3,,18347,2:35,
2018-11-29,Arizona Coyotes,3,Nashville Predators,0,,17165,2:33,
2018-11-29,New York Rangers,0,Ottawa Senators,3,,10921,2:13,
2018-11-29,Buffalo Sabres,4,Tampa Bay Lightning,5,,19092,2:33,
2018-11-29,Vegas Golden Knights,4,Vancouver Canucks,3,,16880,2:25,
2018-11-29,Chicago Blackhawks,5,Winnipeg Jets,6,,15321,2:21,
2018-11-30,Anaheim Ducks,2,Carolina Hurricanes,1,OT,13987,2:34,
2018-11-30,Los Angeles Kings,1,Calgary Flames,4,,17989,2:18,
2018-11-30,St. Louis Blues,3,Colorado Avalanche,2,OT,18021,2:38,
2018-11-30,Buffalo Sabres,2,Florida Panthers,3,OT,12179,2:36,
2018-11-30,New Jersey Devils,3,Washington Capitals,6,,18506,2:33,
2018-12-01,St. Louis Blues,1,Arizona Coyotes,6,,13451,2:30,
2018-12-01,Detroit Red Wings,4,Boston Bruins,2,,17565,2:40,
2018-12-01,Vegas Golden Knights,1,Edmonton Oilers,2,,18347,2:19,
2018-12-01,Tampa Bay Lightning,5,Florida Panthers,4,OT,12361,2:47,
2018-12-01,Toronto Maple Leafs,5,Minnesota Wild,3,,19107,2:31,
2018-12-01,New York Rangers,2,Montreal Canadiens,5,,21302,2:26,
2018-12-01,Winnipeg Jets,4,New Jersey Devils,3,OT,16514,2:46,
2018-12-01,Chicago Blackhawks,2,Nashville Predators,5,,17548,2:26,
2018-12-01,Columbus Blue Jackets,2,New York Islanders,3,,13917,2:30,
2018-12-01,San Jose Sharks,2,Ottawa Senators,6,,17531,2:37,
2018-12-01,Philadelphia Flyers,4,Pittsburgh Penguins,2,,18653,2:23,
2018-12-01,Dallas Stars,2,Vancouver Canucks,1,,17387,2:30,
2018-12-02,Calgary Flames,3,Chicago Blackhawks,2,,21074,2:30,
2018-12-02,Colorado Avalanche,2,Detroit Red Wings,0,,18248,2:32,
2018-12-02,Carolina Hurricanes,0,Los Angeles Kings,2,,17546,2:38,
2018-12-02,San Jose Sharks,3,Montreal Canadiens,1,,20301,2:24,
2018-12-02,Winnipeg Jets,4,New York Rangers,3,SO,17464,2:42,
2018-12-02,Anaheim Ducks,6,Washington Capitals,5,,18506,2:35,
2018-12-03,Edmonton Oilers,1,Dallas Stars,4,,18125,2:34,
2018-12-03,Tampa Bay Lightning,5,New Jersey Devils,1,,13394,2:32,
2018-12-03,Buffalo Sabres,1,Nashville Predators,2,,17311,2:31,
2018-12-04,Toronto Maple Leafs,4,Buffalo Sabres,3,OT,19070,2:38,
2018-12-04,Calgary Flames,9,Columbus Blue Jackets,6,,14885,2:30,
2018-12-04,Tampa Bay Lightning,6,Detroit Red Wings,5,SO,18477,2:42,
2018-12-04,Boston Bruins,0,Florida Panthers,5,,12058,2:40,
2018-12-04,Arizona Coyotes,2,Los Angeles Kings,1,,17203,2:32,
2018-12-04,Ottawa Senators,2,Montreal Canadiens,5,,20705,2:25,
2018-12-04,Winnipeg Jets,3,New York Islanders,1,,9125,2:22,
2018-12-04,Colorado Avalanche,3,Pittsburgh Penguins,6,,18415,2:34,
2018-12-04,Minnesota Wild,3,Vancouver Canucks,2,,17122,2:25,
2018-12-04,Washington Capitals,3,Vegas Golden Knights,5,,18275,2:36,
2018-12-05,Chicago Blackhawks,2,Anaheim Ducks,4,,15696,2:24,
2018-12-05,Carolina Hurricanes,1,San Jose Sharks,5,,17119,2:24,
2018-12-05,Edmonton Oilers,3,St. Louis Blues,2,SO,16551,2:37,
2018-12-06,Washington Capitals,4,Arizona Coyotes,2,,11910,2:21,
2018-12-06,Minnesota Wild,0,Calgary Flames,2,,17690,2:33,
2018-12-06,Colorado Avalanche,5,Florida Panthers,2,,10077,2:29,
2018-12-06,New Jersey Devils,6,Los Angeles Kings,3,,17568,2:47,
2018-12-06,Montreal Canadiens,5,Ottawa Senators,2,,15820,2:24,
2018-12-06,Columbus Blue Jackets,4,Philadelphia Flyers,3,OT,19428,2:30,
2018-12-06,New York Islanders,2,Pittsburgh Penguins,6,,18440,2:25,
2018-12-06,Boston Bruins,2,Tampa Bay Lightning,3,,19092,2:24,
2018-12-06,Detroit Red Wings,5,Toronto Maple Leafs,4,OT,19392,2:37,
2018-12-06,Nashville Predators,3,Vancouver Canucks,5,,16894,2:25,
2018-12-06,Chicago Blackhawks,3,Vegas Golden Knights,4,,18494,2:32,
2018-12-07,Carolina Hurricanes,4,Anaheim Ducks,1,,15573,2:35,
2018-12-07,San Jose Sharks,2,Dallas Stars,3,,18342,2:26,
2018-12-07,Minnesota Wild,2,Edmonton Oilers,7,,18347,2:28,
2018-12-07,St. Louis Blues,1,Winnipeg Jets,0,,15321,2:27,
2018-12-08,San Jose Sharks,5,Arizona Coyotes,3,,13780,2:29,
2018-12-08,Toronto Maple Leafs,3,Boston Bruins,6,,17565,2:39,
2018-12-08,Philadelphia Flyers,6,Buffalo Sabres,2,,18283,2:29,
2018-12-08,Washington Capitals,4,Columbus Blue Jackets,0,,18501,2:29,
2018-12-08,Nashville Predators,2,Calgary Flames,5,,17717,2:17,
2018-12-08,New York Islanders,3,Detroit Red Wings,2,,19515,2:39,
2018-12-08,New York Rangers,5,Florida Panthers,4,SO,15295,2:43,
2018-12-08,Vegas Golden Knights,1,Los Angeles Kings,5,,17631,2:25,
2018-12-08,Pittsburgh Penguins,1,Ottawa Senators,2,OT,15795,2:28,
2018-12-08,Colorado Avalanche,1,Tampa Bay Lightning,7,,19092,2:32,
2018-12-09,New Jersey Devils,5,Anaheim Ducks,6,SO,16470,2:45,
2018-12-09,Montreal Canadiens,3,Chicago Blackhawks,2,,21057,2:32,
2018-12-09,Calgary Flames,0,Edmonton Oilers,1,,18347,2:25,
2018-12-09,Boston Bruins,2,Ottawa Senators,1,OT,13148,2:33,
2018-12-09,Vancouver Canucks,6,St. Louis Blues,1,,16841,2:22,
2018-12-09,Dallas Stars,2,Vegas Golden Knights,4,,18240,2:31,
2018-12-09,Philadelphia Flyers,1,Winnipeg Jets,7,,15321,2:38,
2018-12-10,Los Angeles Kings,1,Detroit Red Wings,3,,18322,2:24,
2018-12-10,Pittsburgh Penguins,2,New York Islanders,1,SO,13917,2:43,
2018-12-10,New Jersey Devils,2,San Jose Sharks,5,,17097,2:28,
2018-12-10,New York Rangers,3,Tampa Bay Lightning,6,,19092,2:33,
2018-12-11,Arizona Coyotes,3,Boston Bruins,4,,17565,2:35,
2018-12-11,Los Angeles Kings,3,Buffalo Sabres,4,OT,17897,2:50,
2018-12-11,Toronto Maple Leafs,4,Carolina Hurricanes,1,,11907,2:21,
2018-12-11,Vancouver Canucks,3,Columbus Blue Jackets,2,,14689,2:28,
2018-12-11,Edmonton Oilers,6,Colorado Avalanche,4,,15809,2:36,
2018-12-11,Montreal Canadiens,1,Minnesota Wild,7,,18681,2:24,
2018-12-11,Ottawa Senators,1,Nashville Predators,3,,17162,2:24,
2018-12-11,Florida Panthers,3,St. Louis Blues,4,,16255,2:38,
2018-12-11,Chicago Blackhawks,3,Winnipeg Jets,6,,15321,2:23,
2018-12-11,Detroit Red Wings,2,Washington Capitals,6,,18506,2:35,
2018-12-12,Dallas Stars,3,Anaheim Ducks,6,,16810,2:32,
2018-12-12,Philadelphia Flyers,5,Calgary Flames,6,OT,17763,2:31,
2018-12-12,Pittsburgh Penguins,3,Chicago Blackhawks,6,,21232,2:28,
2018-12-12,Vegas Golden Knights,3,New York Islanders,2,,9182,2:39,
2018-12-13,Arizona Coyotes,1,Buffalo Sabres,3,,16872,2:33,
2018-12-13,Los Angeles Kings,1,Columbus Blue Jackets,4,,15087,2:30,
2018-12-13,Florida Panthers,1,Minnesota Wild,5,,18714,2:32,
2018-12-13,Carolina Hurricanes,4,Montreal Canadiens,6,,20407,2:33,
2018-12-13,Vancouver Canucks,3,Nashville Predators,4,OT,17206,2:41,
2018-12-13,Dallas Stars,2,San Jose Sharks,3,,17185,2:30,
2018-12-13,Toronto Maple Leafs,1,Tampa Bay Lightning,4,,19092,2:39,
2018-12-13,Edmonton Oilers,4,Winnipeg Jets,5,OT,15321,2:35,
2018-12-14,Washington Capitals,6,Carolina Hurricanes,5,SO,14446,2:45,
2018-12-14,Winnipeg Jets,4,Chicago Blackhawks,3,OT,21235,2:33,
2018-12-14,Ottawa Senators,4,Detroit Red Wings,2,,18330,2:32,
2018-12-14,Philadelphia Flyers,1,Edmonton Oilers,4,,18347,2:24,
2018-12-14,Vegas Golden Knights,4,New Jersey Devils,5,OT,14076,2:31,
2018-12-14,Arizona Coyotes,4,New York Rangers,3,OT,17441,2:33,
2018-12-14,Boston Bruins,3,Pittsburgh Penguins,5,,18549,2:32,
2018-12-14,Colorado Avalanche,3,St. Louis Blues,4,OT,16366,2:39,
2018-12-15,Anaheim Ducks,2,Columbus Blue Jackets,1,OT,16171,2:33,
2018-12-15,Dallas Stars,4,Colorado Avalanche,6,,17626,2:54,
2018-12-15,Toronto Maple Leafs,3,Florida Panthers,4,OT,14177,2:48,
2018-12-15,Calgary Flames,2,Minnesota Wild,1,,18882,2:25,
2018-12-15,Ottawa Senators,2,Montreal Canadiens,5,,21302,2:33,
2018-12-15,New Jersey Devils,1,Nashville Predators,2,SO,17446,2:57,
2018-12-15,Detroit Red Wings,3,New York Islanders,4,SO,13917,2:47,
2018-12-15,Los Angeles Kings,3,Pittsburgh Penguins,4,OT,18627,2:32,
2018-12-15,Philadelphia Flyers,1,Vancouver Canucks,5,,17238,2:23,
2018-12-15,Buffalo Sabres,3,Washington Capitals,4,SO,18506,2:43,
2018-12-16,Buffalo Sabres,4,Boston Bruins,2,,17565,2:34,
2018-12-16,Arizona Coyotes,0,Carolina Hurricanes,3,,13051,2:25,
2018-12-16,San Jose Sharks,7,Chicago Blackhawks,3,,21237,2:26,
2018-12-16,Vegas Golden Knights,4,New York Rangers,3,OT,17660,2:38,
2018-12-16,Calgary Flames,7,St. Louis Blues,2,,17064,2:26,
2018-12-16,Edmonton Oilers,2,Vancouver Canucks,4,,18036,2:23,
2018-12-16,Tampa Bay Lightning,4,Winnipeg Jets,5,OT,15321,2:38,
2018-12-17,Vegas Golden Knights,0,Columbus Blue Jackets,1,,15008,2:21,
2018-12-17,New York Islanders,4,Colorado Avalanche,1,,15066,2:29,
2018-12-17,Boston Bruins,4,Montreal Canadiens,0,,21302,2:22,
2018-12-17,Nashville Predators,3,Ottawa Senators,4,OT,14492,2:37,
2018-12-17,Anaheim Ducks,4,Pittsburgh Penguins,2,,18575,2:23,
2018-12-18,New York Islanders,3,Arizona Coyotes,1,,11640,2:25,
2018-12-18,Florida Panthers,5,Buffalo Sabres,2,,17602,2:27,
2018-12-18,Nashville Predators,1,Chicago Blackhawks,2,,21223,2:29,
2018-12-18,Calgary Flames,0,Dallas Stars,2,,18127,2:32,
2018-12-18,St. Louis Blues,4,Edmonton Oilers,1,,18347,2:33,
2018-12-18,Winnipeg Jets,1,Los Angeles Kings,4,,17405,2:30,
2018-12-18,San Jose Sharks,4,Minnesota Wild,0,,18870,2:23,
2018-12-18,Toronto Maple Leafs,7,New Jersey Devils,2,,14586,2:30,
2018-12-18,Anaheim Ducks,1,New York Rangers,3,,17590,2:27,
2018-12-18,Detroit Red Wings,2,Philadelphia Flyers,3,,19255,2:30,
2018-12-18,Tampa Bay Lightning,5,Vancouver Canucks,2,,17193,2:42,
2018-12-19,Montreal Canadiens,1,Colorado Avalanche,2,,15469,2:32,
2018-12-19,Pittsburgh Penguins,2,Washington Capitals,1,,18506,2:34,
2018-12-20,Montreal Canadiens,2,Arizona Coyotes,1,,11149,2:29,
2018-12-20,Anaheim Ducks,1,Boston Bruins,3,,17565,2:30,
2018-12-20,Detroit Red Wings,4,Carolina Hurricanes,1,,13548,2:36,
2018-12-20,New Jersey Devils,1,Columbus Blue Jackets,2,,15595,2:30,
2018-12-20,Tampa Bay Lightning,5,Calgary Flames,4,SO,19289,2:50,
2018-12-20,Chicago Blackhawks,5,Dallas Stars,2,,18532,2:31,
2018-12-20,Nashville Predators,1,Philadelphia Flyers,2,,19142,2:23,
2018-12-20,Minnesota Wild,1,Pittsburgh Penguins,2,,18435,2:29,
2018-12-20,Winnipeg Jets,5,San Jose Sharks,3,,17213,2:29,
2018-12-20,Florida Panthers,1,Toronto Maple Leafs,6,,19329,2:31,
2018-12-20,St. Louis Blues,1,Vancouver Canucks,5,,18261,2:31,
2018-12-20,New York Islanders,2,Vegas Golden Knights,4,,18226,2:35,
2018-12-21,Chicago Blackhawks,2,Colorado Avalanche,1,,17850,2:26,
2018-12-21,Ottawa Senators,2,New Jersey Devils,5,,14614,2:38,
2018-12-21,Buffalo Sabres,1,Washington Capitals,2,,18506,2:27,
2018-12-22,Colorado Avalanche,4,Arizona Coyotes,6,,13896,2:35,
2018-12-22,Nashville Predators,2,Boston Bruins,5,,17565,2:33,
2018-12-22,Anaheim Ducks,0,Buffalo Sabres,3,,19070,2:33,
2018-12-22,Pittsburgh Penguins,3,Carolina Hurricanes,0,,16264,2:24,
2018-12-22,St. Louis Blues,3,Calgary Flames,1,,18683,2:23,
2018-12-22,Florida Panthers,2,Detroit Red Wings,1,,19515,2:28,
2018-12-22,Tampa Bay Lightning,6,Edmonton Oilers,3,,18347,2:39,
2018-12-22,Dallas Stars,2,Minnesota Wild,1,OT,19074,2:40,
2018-12-22,Washington Capitals,4,Ottawa Senators,0,,15605,2:19,
2018-12-22,Columbus Blue Jackets,4,Philadelphia Flyers,3,,19311,2:26,
2018-12-22,Los Angeles Kings,3,San Jose Sharks,2,OT,17562,2:35,
2018-12-22,New York Rangers,3,Toronto Maple Leafs,5,,19466,2:21,
2018-12-22,Winnipeg Jets,1,Vancouver Canucks,0,,18028,2:23,
2018-12-22,Montreal Canadiens,4,Vegas Golden Knights,3,OT,18173,2:33,
2018-12-23,Boston Bruins,3,Carolina Hurricanes,5,,17491,2:37,
2018-12-23,Florida Panthers,6,Chicago Blackhawks,3,,21789,2:16,
2018-12-23,New York Islanders,3,Dallas Stars,1,,18031,2:26,
2018-12-23,Columbus Blue Jackets,3,New Jersey Devils,0,,12872,2:26,
2018-12-23,Philadelphia Flyers,3,New York Rangers,2,SO,17515,2:43,
2018-12-23,Arizona Coyotes,4,San Jose Sharks,3,SO,17325,2:38,
2018-12-23,Detroit Red Wings,4,Toronto Maple Leafs,5,OT,19196,2:31,
2018-12-23,Los Angeles Kings,4,Vegas Golden Knights,3,OT,18225,2:25,
2018-12-27,New Jersey Devils,5,Boston Bruins,2,,17565,2:31,
2018-12-27,Minnesota Wild,2,Chicago Blackhawks,5,,21735,2:36,
2018-12-27,Vancouver Canucks,4,Edmonton Oilers,2,,18347,2:27,
2018-12-27,Arizona Coyotes,1,Los Angeles Kings,2,,18230,2:30,
2018-12-27,Dallas Stars,2,Nashville Predators,0,,17697,2:37,
2018-12-27,Columbus Blue Jackets,4,New York Rangers,3,OT,18006,2:29,
2018-12-27,Detroit Red Wings,2,Pittsburgh Penguins,5,,18639,2:28,
2018-12-27,Anaheim Ducks,2,San Jose Sharks,4,,17562,2:24,
2018-12-27,Buffalo Sabres,1,St. Louis Blues,4,,17867,2:21,
2018-12-27,Philadelphia Flyers,5,Tampa Bay Lightning,6,OT,19092,2:41,
2018-12-27,Colorado Avalanche,1,Vegas Golden Knights,2,,18505,2:27,
2018-12-27,Calgary Flames,4,Winnipeg Jets,1,,15321,2:29,
2018-12-27,Carolina Hurricanes,1,Washington Capitals,3,,18506,2:29,
2018-12-28,Toronto Maple Leafs,4,Columbus Blue Jackets,2,,18963,2:24,
2018-12-28,Montreal Canadiens,5,Florida Panthers,3,,19512,2:24,
2018-12-28,Ottawa Senators,3,New York Islanders,6,,13434,2:35,
2018-12-29,Arizona Coyotes,5,Anaheim Ducks,4,OT,17174,2:33,
2018-12-29,Boston Bruins,3,Buffalo Sabres,2,OT,19070,2:29,
2018-12-29,Vancouver Canucks,3,Calgary Flames,2,OT,19289,2:35,
2018-12-29,Chicago Blackhawks,3,Colorado Avalanche,2,OT,18028,2:33,
2018-12-29,Detroit Red Wings,1,Dallas Stars,5,,18532,2:36,
2018-12-29,San Jose Sharks,7,Edmonton Oilers,4,,18347,2:29,
2018-12-29,Philadelphia Flyers,1,Florida Panthers,2,,15737,2:30,
2018-12-29,Vegas Golden Knights,4,Los Angeles Kings,1,,18230,2:28,
2018-12-29,Carolina Hurricanes,0,New Jersey Devils,2,,16514,2:36,
2018-12-29,New York Rangers,4,Nashville Predators,3,,17673,2:37,
2018-12-29,Washington Capitals,3,Ottawa Senators,2,,16808,2:30,
2018-12-29,Pittsburgh Penguins,6,St. Louis Blues,1,,17475,2:33,
2018-12-29,Montreal Canadiens,5,Tampa Bay Lightning,6,,19092,2:37,
2018-12-29,New York Islanders,4,Toronto Maple Leafs,0,,19514,2:29,
2018-12-29,Minnesota Wild,3,Winnipeg Jets,1,,15321,2:25,
2018-12-30,Vegas Golden Knights,5,Arizona Coyotes,1,,17125,2:31,
2018-12-31,Tampa Bay Lightning,2,Anaheim Ducks,1,OT,17340,2:25,
2018-12-31,New York Islanders,3,Buffalo Sabres,1,,19070,2:26,
2018-12-31,Philadelphia Flyers,1,Carolina Hurricanes,3,,16644,2:27,
2018-12-31,Ottawa Senators,3,Columbus Blue Jackets,6,,18549,2:41,
2018-12-31,San Jose Sharks,5,Calgary Flames,8,,19289,2:43,
2018-12-31,Los Angeles Kings,3,Colorado Avalanche,2,OT,18017,2:27,
2018-12-31,Montreal Canadiens,3,Dallas Stars,2,OT,18532,2:29,
2018-12-31,Florida Panthers,4,Detroit Red Wings,3,SO,19515,2:52,
2018-12-31,Winnipeg Jets,4,Edmonton Oilers,3,,18347,2:27,
2018-12-31,Pittsburgh Penguins,3,Minnesota Wild,2,,19163,2:29,
2018-12-31,Vancouver Canucks,0,New Jersey Devils,4,,15772,2:21,
2018-12-31,New York Rangers,2,St. Louis Blues,1,,16849,2:29,
2018-12-31,Nashville Predators,6,Washington Capitals,3,,18506,2:33,
2019-01-01,Boston Bruins,4,Chicago Blackhawks,2,,76126,2:37,
2019-01-01,Philadelphia Flyers,0,Nashville Predators,4,,17481,2:26,
2019-01-01,Los Angeles Kings,0,Vegas Golden Knights,2,,18319,2:23,
2019-01-02,Edmonton Oilers,3,Arizona Coyotes,1,,12583,2:24,
2019-01-02,San Jose Sharks,5,Colorado Avalanche,4,,17891,2:31,
2019-01-02,New Jersey Devils,4,Dallas Stars,5,,18133,2:29,
2019-01-02,Calgary Flames,5,Detroit Red Wings,3,,19515,2:36,
2019-01-02,Pittsburgh Penguins,7,New York Rangers,2,,18006,2:31,
2019-01-02,Vancouver Canucks,4,Ottawa Senators,3,OT,16358,2:41,
2019-01-03,Calgary Flames,4,Boston Bruins,6,,17565,2:23,
2019-01-03,Florida Panthers,3,Buffalo Sabres,4,,18551,2:36,
2019-01-03,Tampa Bay Lightning,6,Los Angeles Kings,2,,17551,2:30,
2019-01-03,Vancouver Canucks,0,Montreal Canadiens,2,,21302,2:35,
2019-01-03,Chicago Blackhawks,2,New York Islanders,3,OT,13454,2:33,
2019-01-03,Carolina Hurricanes,5,Philadelphia Flyers,3,,18718,2:41,
2019-01-03,Washington Capitals,2,St. Louis Blues,5,,17200,2:25,
2019-01-03,Minnesota Wild,4,Toronto Maple Leafs,3,,19244,2:35,
2019-01-04,Vegas Golden Knights,3,Anaheim Ducks,2,,17222,2:24,
2019-01-04,New Jersey Devils,3,Arizona Coyotes,2,SO,12636,2:46,
2019-01-04,Columbus Blue Jackets,2,Carolina Hurricanes,4,,15346,2:21,
2019-01-04,New York Rangers,1,Colorado Avalanche,6,,17287,2:26,
2019-01-04,Washington Capitals,1,Dallas Stars,2,OT,18532,2:32,
2019-01-04,Nashville Predators,3,Detroit Red Wings,4,OT,19515,2:37,
2019-01-04,Winnipeg Jets,0,Pittsburgh Penguins,4,,18642,2:29,
2019-01-05,Buffalo Sabres,1,Boston Bruins,2,,17565,2:31,
2019-01-05,Columbus Blue Jackets,4,Florida Panthers,3,OT,15213,2:27,
2019-01-05,Edmonton Oilers,0,Los Angeles Kings,4,,18230,2:29,
2019-01-05,Nashville Predators,4,Montreal Canadiens,1,,21302,2:29,
2019-01-05,Minnesota Wild,4,Ottawa Senators,3,,14124,2:29,
2019-01-05,Calgary Flames,3,Philadelphia Flyers,2,OT,19236,2:31,
2019-01-05,Tampa Bay Lightning,2,San Jose Sharks,5,,17562,2:27,
2019-01-05,New York Islanders,4,St. Louis Blues,3,,16801,2:30,
2019-01-05,Vancouver Canucks,0,Toronto Maple Leafs,5,,19388,2:23,
2019-01-06,Edmonton Oilers,4,Anaheim Ducks,0,,17317,2:30,
2019-01-06,New York Rangers,0,Arizona Coyotes,5,,12396,2:18,
2019-01-06,Washington Capitals,3,Detroit Red Wings,2,,19515,2:30,
2019-01-06,Carolina Hurricanes,5,Ottawa Senators,4,,12924,2:22,
2019-01-06,Chicago Blackhawks,5,Pittsburgh Penguins,3,,18623,2:24,
2019-01-06,New Jersey Devils,2,Vegas Golden Knights,3,,18103,2:36,
2019-01-06,Dallas Stars,1,Winnipeg Jets,5,,15321,2:24,
2019-01-07,Calgary Flames,4,Chicago Blackhawks,3,,21036,2:26,
2019-01-07,Minnesota Wild,1,Montreal Canadiens,0,,20601,2:26,
2019-01-07,St. Louis Blues,3,Philadelphia Flyers,0,,19021,2:25,
2019-01-07,Los Angeles Kings,1,San Jose Sharks,3,,15447,2:20,
2019-01-07,Nashville Predators,4,Toronto Maple Leafs,0,,19059,2:22,
2019-01-08,Minnesota Wild,0,Boston Bruins,4,,17565,2:28,
2019-01-08,New Jersey Devils,1,Buffalo Sabres,5,,18212,2:30,
2019-01-08,Montreal Canadiens,3,Detroit Red Wings,2,,18898,2:30,
2019-01-08,Carolina Hurricanes,4,New York Islanders,3,,13769,2:26,
2019-01-08,Florida Panthers,1,Pittsburgh Penguins,5,,18526,2:29,
2019-01-08,Edmonton Oilers,2,San Jose Sharks,7,,17320,2:25,
2019-01-08,Dallas Stars,3,St. Louis Blues,1,,17037,2:23,
2019-01-08,Columbus Blue Jackets,0,Tampa Bay Lightning,4,,19092,2:21,
2019-01-08,New York Rangers,2,Vegas Golden Knights,4,,18249,2:43,
2019-01-08,Colorado Avalanche,4,Winnipeg Jets,7,,15321,2:22,
2019-01-08,Philadelphia Flyers,3,Washington Capitals,5,,18506,2:37,
2019-01-09,Ottawa Senators,2,Anaheim Ducks,1,OT,17174,2:32,
2019-01-09,Colorado Avalanche,3,Calgary Flames,5,,18220,2:26,
2019-01-09,Nashville Predators,4,Chicago Blackhawks,3,OT,21255,2:27,
2019-01-10,Washington Capitals,4,Boston Bruins,2,,17565,2:35,
2019-01-10,Nashville Predators,3,Columbus Blue Jackets,4,OT,17065,2:35,
2019-01-10,Florida Panthers,3,Edmonton Oilers,4,SO,18347,2:38,
2019-01-10,Ottawa Senators,4,Los Angeles Kings,1,,17713,2:31,
2019-01-10,Winnipeg Jets,2,Minnesota Wild,3,,19072,2:25,
2019-01-10,Toronto Maple Leafs,4,New Jersey Devils,2,,15280,2:34,
2019-01-10,New York Islanders,4,New York Rangers,3,,17938,2:32,
2019-01-10,Dallas Stars,1,Philadelphia Flyers,2,,19448,2:28,
2019-01-10,Montreal Canadiens,1,St. Louis Blues,4,,17839,2:28,
2019-01-10,Carolina Hurricanes,1,Tampa Bay Lightning,3,,19092,2:34,
2019-01-10,Arizona Coyotes,4,Vancouver Canucks,3,OT,18527,2:33,
2019-01-10,San Jose Sharks,3,Vegas Golden Knights,2,,18367,2:28,
2019-01-11,Pittsburgh Penguins,7,Anaheim Ducks,4,,17473,2:25,
2019-01-11,Buffalo Sabres,3,Carolina Hurricanes,4,,17199,2:30,
2019-01-11,Florida Panthers,3,Calgary Flames,4,,18579,2:28,
2019-01-11,Detroit Red Wings,2,Winnipeg Jets,4,,15321,2:23,
2019-01-12,Tampa Bay Lightning,5,Buffalo Sabres,3,,19070,2:33,
2019-01-12,Vegas Golden Knights,4,Chicago Blackhawks,3,OT,21760,2:31,
2019-01-12,St. Louis Blues,3,Dallas Stars,1,,18124,2:27,
2019-01-12,Arizona Coyotes,3,Edmonton Oilers,2,,18347,2:27,
2019-01-12,Pittsburgh Penguins,2,Los Angeles Kings,5,,18414,2:36,
2019-01-12,Detroit Red Wings,5,Minnesota Wild,2,,19087,2:28,
2019-01-12,Colorado Avalanche,0,Montreal Canadiens,3,,21302,2:20,
2019-01-12,Philadelphia Flyers,2,New Jersey Devils,3,,16514,2:32,
2019-01-12,New York Rangers,2,New York Islanders,1,,15497,2:27,
2019-01-12,Ottawa Senators,1,San Jose Sharks,4,,17562,2:21,
2019-01-12,Boston Bruins,3,Toronto Maple Leafs,2,,19305,2:24,
2019-01-12,Columbus Blue Jackets,2,Washington Capitals,1,OT,18506,2:40,
2019-01-13,Nashville Predators,3,Carolina Hurricanes,6,,16347,2:31,
2019-01-13,New York Rangers,5,Columbus Blue Jackets,7,,17417,2:33,
2019-01-13,Arizona Coyotes,1,Calgary Flames,7,,17849,2:25,
